"Date","Activity","Source/Destination","Wallet Txn ID","Comment","Debit","Credit","Transaction Breakup","Status"
"31/12/2019 19:54:57","Paid for order","Sri Balaji Store Order #201912311954560013","28160160931","","10","","","SUCCESS"
"31/12/2019 19:51:28","Paid for order","Balaji fruit shop Order #201912311951240058","28160064139","","100","","","SUCCESS"
"31/12/2019 19:48:47","Paid for order","Satya sai Bakery and sweets Order #201912311948430011","28159988565","","35","","","SUCCESS"
"31/12/2019 19:47:12","Paid for order","Satya sai Bakery and sweets Order #201912311947060040","28159943904","","50","","","SUCCESS"
"31/12/2019 14:05:01","Paid for order","Hunger Box18 Order #SREUQM159218","28151857972","","45","","","SUCCESS"
"30/12/2019 20:28:43","Paid for order","RAJANNA R Order #201912302028430061","28139653557","","10","","","SUCCESS"
"30/12/2019 19:17:04","Paid for order","Satya sai Bakery and sweets Order #201912301916590048","28138037095","","30","","","SUCCESS"
"30/12/2019 17:52:51","Paid for order","bigbasket Order #16847462","28136194083","","367","","","SUCCESS"
"30/12/2019 16:32:39","Paid for order","Hunger Box18 Order #GIVNPA80193","28134661400","","25","","","SUCCESS"
"30/12/2019 16:31:12","Paid for order","Hunger Box18 Order #GIVNPA80192","28134636853","","50","","","SUCCESS"
"30/12/2019 13:00:03","Paid for order","Hunger Box18 Order #DESHFJ32401","28130289736","","60","","","SUCCESS"
"29/12/2019 18:11:38","Paid for order","Order #SM_C7342D5D490557FE","28119067649","","138","","","SUCCESS"
"29/12/2019 13:24:22","Paid for order","Sri Balaji Store Order #201912291324210028","28114539503","","10","","","SUCCESS"
"29/12/2019 13:12:08","Paid for order","Ranchod Prabhat Vora Order #201912291312050017","28114278791","","38","","","SUCCESS"
"28/12/2019 21:28:24","Paid for order","bigbasket Order #16816638","28106571346","","601","","","SUCCESS"
"28/12/2019 19:25:25","Paid for order","Sri Balaji Store Order #201912281925240027","28104250762","","20","","","SUCCESS"
"28/12/2019 19:22:51","Paid for order","RAJANNA R Order #201912281922500034","28104201003","","10","","","SUCCESS"
"28/12/2019 19:19:58","Paid for order","Balaji fruit shop Order #201912281919540010","28104145524","","150","","","SUCCESS"
"28/12/2019 13:07:28","Paid for order","RAJANNA R Order #201912281307020002","28097308103","","10","","","SUCCESS"
"27/12/2019 20:29:27","Paid for order","Sri Balaji Store Order #201912272029260004","28088705071","","10","","","SUCCESS"
"27/12/2019 13:15:39","Paid for order","Hunger Box18 Order #ALVJFQ49973","28081154878","","70","","","SUCCESS"
"26/12/2019 19:48:19","Paid for order","RAJANNA R Order #201912261948160003","28071351126","","10","","","SUCCESS"
"26/12/2019 13:10:33","Paid for order","Hunger Box18 Order #GSNIFD23255","28064398424","","51","","","SUCCESS"
"25/12/2019 21:00:50","Paid for order","Sri Balaji Store Order #201912252100500019","28056093527","","10","","","SUCCESS"
"25/12/2019 18:56:39","Paid for order","Twilight Supermart Order #201912251856390006","28053811011","","35","","","SUCCESS"
"25/12/2019 18:55:05","Paid for order","Satya sai Bakery and sweets Order #201912251855050007","28053779412","","60","","","SUCCESS"
